CAS #,Formatted CAS #,Substance Name,Acidification Air (kg SO2 eq / kg substance),"Ecotox. CF [CTUeco/kg], Em.airU, freshwater","Ecotox. CF [CTUeco/kg], Em.airC, freshwater","Ecotox. CF [CTUeco/kg], Em.fr.waterC, freshwater","Ecotox. CF [CTUeco/kg], Em.sea waterC, freshwater","Ecotox. CF [CTUeco/kg], Em.nat.soilC, freshwater","Ecotox. CF [CTUeco/kg], Em.agr.soilC, freshwater",CF Flag Ecotox,Global Climate Air (kg CO2 eq / kg substance),"Human health CF  [CTUcancer/kg], Emission to urban air, cancer","Human health CF  [CTUnoncancer/kg], Emission to urban air, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. rural air, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. rural air, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. freshwater, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. freshwater, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. sea water, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. sea water, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. natural soil, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. natural soil, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. agric. Soil, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. agric. Soil, non-canc.",CF Flag HH carcinogenic,CF Flag HH non-carcinogenic,HH Particulate Air (PM2.5 eq / kg substance),Ozone Depletion Air (kg CFC-11 eq / kg substance),Photochemical Oxidation Formation Air (kg O3 eq / kg substance),
50000,50-00-0,FORMALDEHYDE,n/a,2.76E+01,2.60E+01,2.97E+02,2.44E-02,8.40E+01,8.40E+01,Recommended,n/a,2.54E-05,2.67E-07,1.39E-06,7.54E-08,1.24E-07,3.24E-07,1.31E-09,1.37E-10,2.76E-07,9.96E-08,2.88E-07,1.48E-07,Recommended,Recommended,n/a,n/a,9.46E+00,
50066,50-06-6,PHENOBARBITAL,n/a,1.44E+01,1.38E+01,8.10E+01,1.73E-10,1.52E+01,1.52E+01,Interim,n/a,2.34E-05,n/a,1.74E-05,n/a,2.27E-05,n/a,6.83E-09,n/a,4.28E-06,n/a,7.92E-06,n/a,Recommended,n/a,n/a,n/a,n/a,
50180,50-18-0,CYCLOPHOSPHAMIDE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.45E-06,n/a,8.81E-07,n/a,7.33E-06,n/a,1.94E-09,n/a,1.03E-06,n/a,1.61E-06,n/a,Recommended,n/a,n/a,n/a,n/a,
50248,50-24-8,PREDNISOLONE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.25E-05,n/a,7.74E-05,n/a,8.63E-05,n/a,7.38E-08,n/a,1.50E-05,n/a,2.67E-05,n/a,Recommended,n/a,n/a,n/a,n/a,
50282,50-28-2,ESTRADIOL,n/a,3.28E+06,8.05E+05,1.84E+08,4.99E-01,2.55E+05,2.55E+05,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
50293,50-29-3,"P,P'-DDT",n/a,6.74E+03,4.90E+03,2.78E+05,1.89E+02,3.15E+02,3.15E+02,Recommended,n/a,5.83E-05,4.65E-05,5.24E-05,4.18E-05,5.33E-04,4.25E-04,9.25E-05,7.37E-05,1.21E-06,9.67E-07,1.65E-06,1.32E-06,Recommended,Recommended,n/a,n/a,n/a,
50306,50-30-6,"2,6-DICHLOROBENZOIC ACID",n/a,5.73E+01,5.53E+01,3.00E+02,3.99E-04,6.50E+01,6.50E+01,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
50317,50-31-7,"2,3,6-TRICHLOROBENZOIC ACID",n/a,5.58E+01,5.19E+01,3.99E+02,5.55E-03,5.50E+01,5.50E+01,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
50328,50-32-8,BENZO[A]PYRENE,n/a,1.70E+02,4.35E+01,1.17E+04,5.40E-02,2.09E+00,2.09E+00,Recommended,n/a,4.50E-05,n/a,2.48E-05,n/a,3.42E-05,n/a,6.79E-06,n/a,7.69E-09,n/a,1.15E-06,n/a,Interim,n/a,n/a,n/a,n/a,
50339,50-33-9,PHENYLBUTAZONE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.78E-07,n/a,5.41E-08,n/a,3.75E-07,n/a,3.41E-09,n/a,1.32E-09,n/a,5.57E-09,n/a,Recommended,n/a,n/a,n/a,n/a,
50442,50-44-2,6-PURINETHIOL HYDRATE,n/a,7.27E+00,3.14E+00,3.44E+02,1.92E-10,2.44E+01,2.44E+01,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
50555,50-55-5,RESERPINE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.82E-04,n/a,5.20E-04,n/a,1.66E-05,n/a,5.04E-07,n/a,7.93E-09,n/a,8.04E-08,n/a,Recommended,n/a,n/a,n/a,n/a,
50657,50-65-7,NICLOSAMIDE,n/a,2.14E+04,1.52E+04,4.35E+05,2.71E-04,6.07E+03,6.07E+03,Recommended,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
51036,51-03-6,PIPERONYL BUTOXIDE,n/a,6.92E+02,1.78E+02,4.69E+04,8.42E-02,1.36E+03,1.36E+03,Recommended,n/a,1.85E-07,7.52E-08,6.24E-08,2.54E-08,1.77E-06,7.20E-07,2.96E-08,1.20E-08,5.21E-08,2.12E-08,6.77E-07,2.76E-07,Recommended,Recommended,n/a,n/a,n/a,
51218,51-21-8,5-FLUOROURACIL,n/a,4.13E+03,3.98E+03,2.59E+04,7.57E-06,6.75E+03,6.75E+03,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
51285,51-28-5,"2,4-DINITROPHENOL",n/a,2.57E+02,2.11E+02,3.56E+03,6.48E-02,1.41E+02,1.41E+02,Interim,n/a,n/a,3.32E-06,n/a,1.90E-06,n/a,5.13E-06,n/a,4.50E-09,n/a,2.22E-07,n/a,3.47E-07,n/a,Interim,n/a,n/a,n/a,
51525,51-52-5,PROPYLTHIOURACIL,n/a,3.44E+01,2.86E+01,9.12E+02,1.37E-06,2.28E+02,2.28E+02,Interim,n/a,2.17E-06,n/a,8.00E-07,n/a,6.85E-06,n/a,1.51E-09,n/a,1.71E-06,n/a,2.88E-06,n/a,Recommended,n/a,n/a,n/a,n/a,
51796,51-79-6,ETHYL CARBAMATE,n/a,1.00E+00,9.48E-01,8.17E+00,1.19E-04,1.78E+00,1.78E+00,Interim,n/a,4.55E-06,n/a,1.87E-06,n/a,4.71E-06,n/a,1.04E-09,n/a,1.09E-06,n/a,1.64E-06,n/a,Recommended,n/a,n/a,n/a,n/a,
52517,52-51-7,"1,3-PROPANEDIOL, 2-BROMO-2-NITRO-",n/a,6.36E+02,6.29E+02,2.50E+03,1.25E-05,8.08E+02,8.08E+02,Recommended,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
52686,52-68-6,TRICHLOROFON,n/a,3.31E+04,3.13E+04,2.48E+05,2.57E-03,5.25E+04,5.25E+04,Recommended,n/a,n/a,1.32E-05,n/a,1.00E-05,n/a,1.75E-05,n/a,4.58E-09,n/a,3.70E-06,n/a,5.38E-06,n/a,Recommended,n/a,n/a,n/a,
52766,52-76-6,LYNESTRENOL,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.87E-05,n/a,8.09E-06,n/a,7.44E-04,n/a,2.92E-05,n/a,7.92E-07,n/a,2.88E-06,n/a,Recommended,n/a,n/a,n/a,n/a,
53167,53-16-7,ESTRONE,n/a,4.39E+01,1.10E+01,2.14E+04,9.31E-01,1.93E+01,1.93E+01,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
53430,53-43-0,PRASTERONE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.20E-07,n/a,7.98E-08,n/a,2.41E-06,n/a,3.22E-08,n/a,2.17E-08,n/a,5.18E-08,n/a,Recommended,n/a,n/a,n/a,n/a,
53703,53-70-3,"DIBENZ(A,H)ANTHRACENE",n/a,5.28E+01,1.65E+01,2.92E+03,4.05E-03,4.72E-01,4.72E-01,Interim,n/a,1.73E-05,n/a,1.13E-05,n/a,3.06E-05,n/a,9.35E-06,n/a,5.06E-09,n/a,6.81E-07,n/a,Interim,n/a,n/a,n/a,n/a,
53861,53-86-1,INDOMETHACIN,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.43E-05,n/a,1.01E-05,n/a,7.10E-04,n/a,1.49E-05,n/a,1.67E-05,n/a,4.80E-05,n/a,Recommended,n/a,n/a,n/a,n/a,
53952,53-95-2,N-HYDROXY-N-ACETYL-2-AMINOFLUORENE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.66E-05,n/a,2.27E-05,n/a,1.03E-04,n/a,3.74E-07,n/a,5.61E-07,n/a,1.19E-06,n/a,Recommended,n/a,n/a,n/a,n/a,
53963,53-96-3,2-ACETYLAMINOFLUORENE,n/a,1.85E+01,8.60E+00,1.50E+03,4.28E-02,1.33E+01,1.33E+01,Interim,n/a,2.94E-05,n/a,9.34E-06,n/a,8.44E-05,n/a,5.99E-07,n/a,1.05E-06,n/a,2.65E-06,n/a,Recommended,n/a,n/a,n/a,n/a,
54115,54-11-5,NICOTINE,n/a,8.03E+01,3.11E+01,3.95E+03,9.48E-04,1.39E+02,1.39E+02,Recommended,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
54217,54-21-7,SODIUM SALICYLATE,n/a,1.44E+00,1.35E+00,1.09E+01,1.34E-13,1.92E+00,1.92E+00,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
54319,54-31-9,FUROSEMIDE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.62E-07,n/a,1.05E-07,n/a,3.19E-07,n/a,2.23E-10,n/a,5.60E-08,n/a,1.06E-07,n/a,Interim,n/a,n/a,n/a,n/a,
54648,54-64-8,THIMEROSAL,n/a,1.55E+02,1.38E+02,1.51E+03,2.73E-13,1.38E+02,1.38E+02,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
54853,54-85-3,ISONIAZID,n/a,8.21E+00,8.10E+00,4.11E+01,5.01E-07,1.43E+01,1.43E+01,Interim,n/a,5.55E-06,n/a,4.01E-06,n/a,6.16E-06,n/a,1.15E-09,n/a,2.13E-06,n/a,2.71E-06,n/a,Recommended,n/a,n/a,n/a,n/a,
55185,55-18-5,N-NITROSODIETHYLAMINE,n/a,4.07E-01,3.59E-01,3.02E+01,5.26E-03,3.77E+00,3.77E+00,Recommended,n/a,1.07E-03,n/a,8.60E-05,n/a,2.41E-03,n/a,2.01E-06,n/a,3.12E-04,n/a,4.18E-04,n/a,Recommended,n/a,n/a,n/a,n/a,
55210,55-21-0,BENZAMIDE,n/a,3.47E+00,3.21E+00,2.84E+01,1.39E-06,4.32E+00,4.32E+00,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
55221,55-22-1,ISONICOTINIC ACID,n/a,1.39E+00,1.36E+00,6.41E+00,7.35E-07,1.61E+00,1.61E+00,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
55389,55-38-9,FENTHION,n/a,1.55E+03,4.50E+02,1.97E+05,1.99E+00,2.44E+03,2.44E+03,Recommended,n/a,n/a,1.22E-05,n/a,3.73E-06,n/a,1.23E-04,n/a,2.51E-06,n/a,1.67E-06,n/a,6.98E-06,n/a,Recommended,n/a,n/a,n/a,
55630,55-63-0,NITROGLYCERIN,n/a,5.07E+02,4.66E+02,4.15E+03,1.35E-01,5.05E+02,5.05E+02,Recommended,n/a,3.62E-07,n/a,2.21E-07,n/a,5.15E-07,n/a,3.13E-10,n/a,6.82E-08,n/a,1.05E-07,n/a,Recommended,n/a,n/a,n/a,n/a,
55801,55-80-1,4-DIMETHYLAMINO-3'-METHYLAZOBENZENE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.05E-06,n/a,1.87E-06,n/a,1.66E-04,n/a,7.96E-06,n/a,1.64E-06,n/a,1.27E-05,n/a,Recommended,n/a,n/a,n/a,n/a,
55914,55-91-4,ISOFLUROPHATE,n/a,2.51E+00,2.02E+00,1.09E+03,2.40E-02,1.06E+02,1.06E+02,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
56042,56-04-2,METHYLTHIOURACIL,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.22E-07,n/a,4.72E-08,n/a,3.68E-07,n/a,1.56E-10,n/a,2.02E-08,n/a,4.43E-08,n/a,Recommended,n/a,n/a,n/a,n/a,
56235,56-23-5,CARBON TETRACHLORIDE,n/a,1.07E+00,1.07E+00,6.64E+01,2.77E-01,2.27E+00,2.27E+00,Recommended,1.40E+03,4.80E-05,1.59E-04,4.54E-05,1.50E-04,4.16E-05,1.42E-04,1.18E-05,3.91E-05,4.21E-05,1.40E-04,4.21E-05,1.41E-04,Recommended,Recommended,n/a,7.30E-01,n/a,
56348,56-34-8,TETRAETHYL AMMONIUM CHLORIDE,n/a,3.91E-01,2.36E-01,1.33E+01,4.59E-13,6.90E-01,6.90E-01,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
56359,56-35-9,BIS(TRI-N-BUTYLTIN) OXIDE,n/a,1.26E+02,2.02E+01,9.49E+03,2.43E-04,1.97E-01,1.97E-01,Interim,n/a,n/a,3.74E-06,n/a,4.16E-07,n/a,1.05E-07,n/a,1.94E-08,n/a,2.26E-12,n/a,1.35E-10,n/a,Interim,n/a,n/a,n/a,
56360,56-36-0,TRIBUTYL TIN ACETATE,n/a,2.89E+03,1.76E+03,8.34E+05,1.84E+01,2.30E+03,2.30E+03,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
56382,56-38-2,PARATHION,n/a,8.93E+04,1.90E+04,6.82E+06,1.73E+01,8.31E+04,8.31E+04,Recommended,n/a,n/a,7.57E-06,n/a,2.12E-06,n/a,4.48E-05,n/a,5.18E-07,n/a,5.71E-07,n/a,2.93E-06,n/a,Recommended,n/a,n/a,n/a,
56406,56-40-6,GLYCINE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.24E-09,n/a,3.21E-10,n/a,1.09E-09,n/a,6.16E-13,n/a,2.81E-10,n/a,4.91E-10,n/a,Interim,n/a,n/a,n/a,n/a,
56495,56-49-5,3-METHYLCHOLANTHRENE,n/a,1.13E+05,1.41E+04,2.22E+07,3.09E+02,1.12E+04,1.12E+04,Interim,n/a,4.82E-05,n/a,2.61E-05,n/a,4.18E-05,n/a,6.01E-06,n/a,6.16E-08,n/a,1.17E-05,n/a,Recommended,n/a,n/a,n/a,n/a,
56531,56-53-1,DIETHYLSTILBESTROL,n/a,7.28E+02,2.53E+02,3.61E+04,1.71E-04,5.84E+00,5.84E+00,Interim,n/a,1.84E-03,n/a,7.55E-04,n/a,4.98E-03,n/a,4.66E-04,n/a,8.05E-07,n/a,2.00E-05,n/a,Recommended,n/a,n/a,n/a,n/a,
56553,56-55-3,BENZ[A]ANTHRACENE,n/a,6.10E+03,1.78E+03,7.94E+05,7.14E+01,2.51E+02,2.51E+02,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
56724,56-72-4,COUMAPHOS,n/a,3.94E+03,8.78E+02,2.31E+05,7.74E-02,1.26E+03,1.26E+03,Recommended,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
56757,56-75-7,CHLORAMPHENICOL,n/a,1.24E+02,1.23E+02,3.98E+02,1.66E-10,1.50E+02,1.50E+02,Recommended,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
56815,56-81-5,GLYCEROL,n/a,1.86E-02,1.74E-02,2.13E-01,3.43E-07,5.42E-02,5.42E-02,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.15E+00,
56939,56-93-9,BENZYL TRIMETHYL AMMONIUM CHLORIDE,n/a,5.54E+01,3.35E+01,1.72E+03,2.91E-10,3.82E+01,3.82E+01,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
57067,57-06-7,3-ISOTHIOCYANATO-1-PROPENE,n/a,6.80E+01,6.98E+01,5.73E+04,5.38E+00,3.89E+03,3.89E+03,Interim,n/a,2.73E-07,n/a,8.64E-09,n/a,1.33E-07,n/a,1.61E-09,n/a,1.33E-08,n/a,5.27E-08,n/a,Recommended,n/a,n/a,n/a,n/a,
57090,57-09-0,CETRIMONIUM BROMIDE,n/a,1.32E+03,8.18E+02,3.46E+04,4.32E-10,1.25E+01,1.25E+01,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
57136,57-13-6,UREA,n/a,2.31E+00,2.27E+00,1.02E+01,8.81E-09,3.05E+00,3.05E+00,Recommended,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
57147,57-14-7,"1,1-DIMETHYL HYDRAZINE",n/a,4.51E+01,4.47E+01,1.07E+03,1.01E+00,1.80E+02,1.80E+02,Recommended,n/a,1.51E-05,n/a,2.78E-06,n/a,1.22E-05,n/a,6.57E-08,n/a,2.75E-06,n/a,4.23E-06,n/a,Recommended,n/a,n/a,n/a,n/a,
57158,57-15-8,"B,B,B-TRICHLORO-T-BUTANOL",n/a,2.62E+01,2.57E+01,2.90E+02,3.52E-01,8.91E+01,8.91E+01,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
57249,57-24-9,STRYCHNINE,n/a,9.45E+02,2.28E+02,5.33E+04,6.52E-07,3.18E+02,3.18E+02,Interim,n/a,n/a,1.02E-05,n/a,3.19E-06,n/a,4.40E-05,n/a,8.92E-08,n/a,2.63E-07,n/a,4.98E-07,n/a,Interim,n/a,n/a,n/a,
57307,57-30-7,SODIUM PHENOBARBITAL,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.13E-06,n/a,4.67E-06,n/a,5.71E-06,n/a,3.70E-09,n/a,4.89E-07,n/a,5.98E-07,n/a,Interim,n/a,n/a,n/a,n/a,
57330,57-33-0,PENTOBARBITAL SODIUM,n/a,1.81E+02,1.77E+02,7.93E+02,3.12E-14,2.10E+02,2.10E+02,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
57396,57-39-6,METEPA,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.54E-06,n/a,4.10E-06,n/a,2.10E-05,n/a,6.79E-09,n/a,6.29E-06,n/a,8.57E-06,n/a,Recommended,n/a,n/a,n/a,n/a,
57410,57-41-0,PHENYTOIN,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.22E-06,n/a,1.44E-06,n/a,3.21E-06,n/a,1.16E-08,n/a,4.24E-08,n/a,9.17E-08,n/a,Interim,n/a,n/a,n/a,n/a,
57432,57-43-2,AMOBARBITAL,n/a,1.07E+02,1.05E+02,4.59E+02,2.65E-08,1.25E+02,1.25E+02,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
57556,57-55-6,PROPYLENE GLYCOL,n/a,1.00E-01,9.43E-02,9.23E-01,1.48E-06,2.20E-01,2.20E-01,Recommended,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.58E+00,
57578,57-57-8,BETA-PROPIOLACTONE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.66E-05,n/a,2.83E-05,n/a,6.29E-05,n/a,4.52E-08,n/a,2.03E-05,n/a,2.76E-05,n/a,Interim,n/a,n/a,n/a,n/a,
57625,57-62-5,AUREOMYCIN,n/a,2.54E+02,2.52E+02,8.69E+02,1.38E-18,3.07E+02,3.07E+02,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
57636,57-63-6,ETHINYL ESTRADIOL,n/a,3.02E+04,7.57E+03,1.69E+06,2.28E-03,1.45E+03,1.45E+03,Interim,n/a,1.56E-04,n/a,5.61E-05,n/a,3.76E-04,n/a,1.95E-06,n/a,3.21E-07,n/a,2.32E-06,n/a,Recommended,n/a,n/a,n/a,n/a,
57669,57-66-9,PROBENECID,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.75E-07,n/a,1.01E-07,n/a,3.15E-07,n/a,2.03E-10,n/a,4.90E-08,n/a,1.89E-07,n/a,Interim,n/a,n/a,n/a,n/a,
57681,57-68-1,SULFAMETHAZINE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.95E-08,n/a,1.47E-08,n/a,1.12E-07,n/a,7.27E-11,n/a,9.39E-09,n/a,1.33E-08,n/a,Interim,n/a,n/a,n/a,n/a,
57749,57-74-9,CHLORDANE,n/a,2.22E+03,1.73E+03,1.82E+05,3.18E+02,5.22E+02,5.22E+02,Recommended,n/a,5.39E-04,8.65E-04,4.91E-04,8.32E-04,8.43E-03,1.44E-02,1.65E-03,2.81E-03,7.11E-05,1.21E-04,8.38E-05,1.42E-04,Recommended,Recommended,n/a,n/a,n/a,
57976,57-97-6,"7,12-DIMETHYLBENZ(A)ANTHRACENE",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.48E-04,n/a,2.50E-04,n/a,3.19E-03,n/a,4.77E-04,n/a,4.11E-06,n/a,7.50E-05,n/a,Recommended,n/a,n/a,n/a,n/a,
58082,58-08-2,CAFFEINE,n/a,6.15E+03,5.69E+03,6.99E+04,7.47E-07,1.66E+04,1.66E+04,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
58140,58-14-0,PYRIMETHAMINE,n/a,1.10E+02,2.72E+01,6.00E+03,4.74E-06,1.20E+02,1.20E+02,Recommended,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
58220,58-22-0,TESTOSTERONE,n/a,2.37E+02,6.24E+01,1.30E+04,5.36E-05,1.17E+02,1.17E+02,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
58275,58-27-5,"2-METHYL-1,4-NAPHTHOQUINONE",n/a,1.75E+03,1.03E+03,5.87E+04,3.29E-01,6.15E+02,6.15E+02,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
58899,58-89-9,GAMMA-HCH (LINDANE),n/a,1.89E+04,1.84E+04,2.90E+05,8.68E+02,2.10E+04,2.10E+04,Recommended,n/a,1.49E-05,1.73E-04,1.33E-05,1.54E-04,3.35E-05,3.88E-04,1.90E-06,2.20E-05,4.46E-06,5.16E-05,6.57E-06,7.61E-05,Recommended,Recommended,n/a,n/a,n/a,
58902,58-90-2,"2,3,4,6-TETRACHLOROPHENOL",n/a,1.34E+03,1.29E+03,2.49E+04,4.71E+01,4.43E+02,4.43E+02,Interim,n/a,n/a,2.59E-06,n/a,2.36E-06,n/a,2.69E-06,n/a,1.34E-07,n/a,2.73E-07,n/a,5.04E-07,n/a,Interim,n/a,n/a,n/a,
59063,59-06-3,ETHOPABATE,n/a,2.83E+01,2.57E+01,5.14E+02,3.15E-05,1.53E+02,1.53E+02,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
59336,59-33-6,PYRILAMINE MALEATE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.16E-07,n/a,4.34E-07,n/a,4.69E-07,n/a,3.36E-10,n/a,8.89E-08,n/a,1.60E-07,n/a,Recommended,n/a,n/a,n/a,n/a,
59507,59-50-7,3-METHYL-4-CHLOROPHENOL,n/a,5.87E+01,3.98E+01,5.68E+03,3.62E-01,1.94E+02,1.94E+02,Recommended,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
59676,59-67-6,NICOTINIC ACID,n/a,1.85E+01,1.81E+01,8.52E+01,2.68E-05,2.14E+01,2.14E+01,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
59870,59-87-0,NITROFURAZONE,n/a,4.09E+01,2.89E+01,1.00E+03,4.35E-05,5.03E+01,5.03E+01,Interim,n/a,7.67E-06,n/a,4.26E-06,n/a,1.36E-05,n/a,8.84E-09,n/a,6.84E-07,n/a,9.79E-07,n/a,Interim,n/a,n/a,n/a,n/a,
59881,59-88-1,"PHENYLHYDRAZINE, MONOHYDROCHLORIDE",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.48E-07,n/a,1.82E-07,n/a,1.11E-06,n/a,1.88E-10,n/a,3.33E-08,n/a,4.89E-08,n/a,Interim,n/a,n/a,n/a,n/a,
59892,59-89-2,N-NITROSOMORPHOLINE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.67E-04,n/a,8.02E-05,n/a,8.57E-04,n/a,1.70E-07,n/a,2.40E-04,n/a,3.05E-04,n/a,Recommended,n/a,n/a,n/a,n/a,
