CAS #,Formatted CAS #,Substance Name,Acidification Air (kg SO2 eq / kg substance),"Ecotox. CF [CTUeco/kg], Em.airU, freshwater","Ecotox. CF [CTUeco/kg], Em.airC, freshwater","Ecotox. CF [CTUeco/kg], Em.fr.waterC, freshwater","Ecotox. CF [CTUeco/kg], Em.sea waterC, freshwater","Ecotox. CF [CTUeco/kg], Em.nat.soilC, freshwater","Ecotox. CF [CTUeco/kg], Em.agr.soilC, freshwater",CF Flag Ecotox,Global Climate Air (kg CO2 eq / kg substance),"Human health CF  [CTUcancer/kg], Emission to urban air, cancer","Human health CF  [CTUnoncancer/kg], Emission to urban air, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. rural air, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. rural air, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. freshwater, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. freshwater, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. sea water, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. sea water, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. natural soil, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. natural soil, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. agric. Soil, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. agric. Soil, non-canc.",CF Flag HH carcinogenic,CF Flag HH non-carcinogenic,HH Particulate Air (PM2.5 eq / kg substance),Ozone Depletion Air (kg CFC-11 eq / kg substance),Photochemical Oxidation Formation Air (kg O3 eq / kg substance),
112903,112-90-3,"9-OCTADECEN-1-AMINE, (Z)-",n/a,8.06E+00,1.31E+00,9.19E+02,1.43E-03,7.05E-02,7.05E-02,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
112925,112-92-5,1-OCTADECANOL,n/a,4.88E-04,2.15E-04,6.81E-01,4.41E-06,3.59E-04,3.59E-04,Recommended,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
112958,112-95-8,N-C20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.59E-01,
114078,114-07-8,ERYTHROMYCIN,n/a,3.19E+03,2.94E+03,2.49E+04,9.46E-18,3.12E+03,3.12E+03,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
114261,114-26-1,PROPOXUR,n/a,7.60E+02,6.63E+02,1.33E+04,3.27E-03,2.80E+03,2.80E+03,Recommended,n/a,n/a,6.14E-06,n/a,3.14E-06,n/a,1.29E-05,n/a,8.15E-09,n/a,2.74E-06,n/a,5.04E-06,n/a,Recommended,n/a,n/a,n/a,
114830,114-83-0,"ACETIC ACID, 2-PHENYLHYDRAZIDE",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.02E-06,n/a,2.50E-07,n/a,1.56E-06,n/a,3.88E-10,n/a,1.43E-07,n/a,2.67E-07,n/a,Recommended,n/a,n/a,n/a,n/a,
115071,115-07-1,PROPYLENE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.17E+01,
115093,115-09-3,METHYL MERCURY CHLORIDE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.01E-05,n/a,1.78E-05,n/a,1.12E-04,n/a,4.45E-08,n/a,2.99E-05,n/a,3.73E-05,n/a,Interim,n/a,n/a,n/a,n/a,
115106,115-10-6,DIMETHYLETHER,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.00E+00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.07E-01,
115117,115-11-7,ISOBUTENE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.75E-09,n/a,1.23E-10,n/a,2.93E-09,n/a,5.81E-11,n/a,1.27E-10,n/a,1.88E-10,n/a,Recommended,n/a,n/a,n/a,6.29E+00,
115184,115-18-4,2-METHYL-3-BUTENE-2-OL,n/a,2.41E-02,2.46E-02,1.05E+01,7.09E-04,2.00E+00,2.00E+00,Recommended,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.91E+00,
115195,115-19-5,2-METHYL-3-BUTYN-2-OL,n/a,2.22E-01,2.12E-01,8.07E+00,1.52E-03,1.76E+00,1.76E+00,Recommended,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
115208,115-20-8,"2,2,2-TRICHLOROETHANOL",n/a,1.29E+01,1.27E+01,1.11E+02,1.31E-01,3.42E+01,3.42E+01,Recommended,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
115253,115-25-3,PERFLUOROCYCLOBUTANE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.03E+04,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
115286,115-28-6,CHLORENDIC ACID,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.31E-06,n/a,2.72E-06,n/a,5.20E-06,n/a,3.22E-09,n/a,1.93E-07,n/a,4.46E-07,n/a,Interim,n/a,n/a,n/a,n/a,
115297,115-29-7,ENDOSULFAN,n/a,3.87E+03,3.49E+03,5.90E+05,8.14E+02,4.54E+03,4.54E+03,Recommended,n/a,n/a,6.80E-06,n/a,1.84E-06,n/a,3.22E-05,n/a,5.34E-06,n/a,5.40E-07,n/a,1.37E-06,n/a,Recommended,n/a,n/a,n/a,
115311,115-31-1,THANITE,n/a,1.17E+03,7.83E+02,4.17E+04,1.47E+00,1.31E+03,1.31E+03,Recommended,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
115322,115-32-2,DICOFOL,n/a,2.17E+04,1.53E+04,4.84E+05,3.61E+01,9.19E+03,9.19E+03,Recommended,n/a,3.66E-05,3.41E-04,2.83E-05,2.64E-04,5.61E-04,5.22E-03,2.06E-05,1.91E-04,1.08E-05,1.01E-04,1.58E-05,1.48E-04,Recommended,Recommended,n/a,n/a,n/a,
115708,115-70-8,"2-AMINO-2-ETHYL-1,3-PROPANEDIOL",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.85E-01,
115775,115-77-5,PENTAERYTHRITOL,n/a,2.91E-02,2.72E-02,3.07E-01,1.72E-12,7.70E-02,7.70E-02,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.17E+00,
115866,115-86-6,TRIPHENYLPHOSPHATE,n/a,3.53E+02,2.10E+02,2.23E+04,1.91E+00,4.65E+01,4.65E+01,Recommended,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
115902,115-90-2,FENSULFOTHION,n/a,2.16E+03,7.78E+02,1.10E+05,2.38E-02,5.81E+03,5.81E+03,Interim,n/a,n/a,3.52E-05,n/a,8.12E-06,n/a,1.71E-04,n/a,5.54E-07,n/a,9.01E-06,n/a,1.79E-05,n/a,Recommended,n/a,n/a,n/a,
