State,Facility Name,Facility ID,Unit ID,Associated Stacks,Year,Operating Time Count,Sum of the Operating Time,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),SO2 Rate (lbs/mmBtu),CO2 Mass (short tons),CO2 Rate (short tons/mmBtu),NOx Mass (short tons),NOx Rate (lbs/mmBtu),Heat Input (mmBtu),Primary Fuel Type,Secondary Fuel Type,Unit Type,SO2 Controls,NOx Controls,PM Controls,Hg Controls,Program Code
KY,John S. Cooper,1384,2,CS1,2026,1799,1788.84,299424.08,,67.446,0.0716,287632.154,0.103,131.22,0.0948,2803445.235,Coal,,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,Baghouse,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,East Bend,6018,2,,2024,6112,6100.28,2519814.06,,1813.622,0.1306,2778102.711,0.103,2094.271,0.1546,27077035.594,Coal,,Dry bottom wall-fired boiler,Wet Lime FGD,Selective Catalytic Reduction|Overfire Air,Electrostatic Precipitator|Wet Scrubber,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,East Bend,6018,2,,2025,6287,6281.0,2875023.05,,1901.776,0.1255,3042899.776,0.103,2957.649,0.1937,29657908.662,Coal,,Dry bottom wall-fired boiler,Wet Lime FGD,Selective Catalytic Reduction|Overfire Air,Electrostatic Precipitator|Wet Scrubber,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,East Bend,6018,2,,2026,3785,3779.31,1815577.99,,1035.018,0.11,1895842.86,0.103,2045.734,0.2059,18477981.536,Coal,,Dry bottom wall-fired boiler,Wet Lime FGD,Selective Catalytic Reduction|Overfire Air,Electrostatic Precipitator|Wet Scrubber,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,H L Spurlock,6041,1,,2024,7289,7283.98,1986780.55,,621.394,0.0601,1949756.124,0.103,837.459,0.088,19003500.447,Coal,,Dry bottom wall-fired boiler,Wet Limestone,Selective Catalytic Reduction|Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator|Wet ESP|Wet Scrubber,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,H L Spurlock,6041,1,,2025,7448,7442.35,2164702.33,,946.374,0.0882,2068686.348,0.103,867.07,0.0857,20162636.571,Coal,,Dry bottom wall-fired boiler,Wet Limestone,Selective Catalytic Reduction|Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator|Wet ESP|Wet Scrubber,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,H L Spurlock,6041,1,,2026,4010,4001.0,1009518.39,,185.128,0.0344,976188.72,0.103,420.331,0.0878,9514494.167,Coal,,Dry bottom wall-fired boiler,Wet Limestone,Selective Catalytic Reduction|Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator|Wet ESP|Wet Scrubber,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,H L Spurlock,6041,2,,2024,6558,6542.98,2886360.33,,1389.891,0.0874,3051180.183,0.103,1306.781,0.0888,29738609.654,Coal,,Tangentially-fired,Wet Limestone,Selective Catalytic Reduction|Low NOx Burner Technology w/ Closed-coupled OFA,Wet ESP|Wet Scrubber|Electrostatic Precipitator,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,H L Spurlock,6041,2,,2025,7379,7373.65,3465337.29,,1329.349,0.0717,3667585.538,0.103,1534.316,0.0864,35746444.91,Coal,,Tangentially-fired,Wet Limestone,Selective Catalytic Reduction|Low NOx Burner Technology w/ Closed-coupled OFA,Wet ESP|Wet Scrubber|Electrostatic Precipitator,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,H L Spurlock,6041,2,,2026,3353,3348.72,1469278.37,,524.611,0.0664,1522394.22,0.103,648.845,0.0887,14838147.701,Coal,,Tangentially-fired,Wet Limestone,Selective Catalytic Reduction|Low NOx Burner Technology w/ Closed-coupled OFA,Wet ESP|Wet Scrubber|Electrostatic Precipitator,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
